States,Cases Post Lockdown 
Andhra Pradesh + Telangana,925925
Arunachal Pradesh,11573
Assam,184664
Bihar,184689
Chhattisgarh,134809
Delhi,218532
Goa,36393
Gujarat,117094
Haryana,125722
Himachal Pradesh,16035
Jammu and Kashmir + Ladakh,79215
Jharkhand,88828
Karnataka,675974
Kerala,263911
Madhya Pradesh,130259
Maharashtra,1336135
Manipur,11583
Meghalaya,7341
Mizoram,2014
Odisha,239980
Puducherry,30285
Punjab,117041
Rajasthan,137125
Tamil Nadu,559904
Tripura,26773
Uttar Pradesh,407838
Uttarakhand,51232
West Bengal,269696
